Titulo,Año de estreno - Año finalización,Generos
Viajeros en el tiempo,1989–1993,"Action, Adventure, Drama"
Thor: Ragnarok,2017,"Action, Adventure, Comedy"
Mad Max: Furia en el camino,2015,"Action, Adventure, Sci-Fi"
La rueda del tiempo,2021– ,"Action, Adventure, Drama"
Hawaii 5.0,2010–2020,"Action, Crime, Drama"
Contra lo imposible,2019,"Action, Biography, Drama"
Star Trek: Deep Space Nine,1993–1999,"Action, Adventure, Drama"
Blade Runner,1982,"Action, Drama, Sci-Fi"
Gotham,2014–2019,"Action, Crime, Drama"
Spider-Man: de regreso a casa,2017,"Action, Adventure, Sci-Fi"
Thor,2011,"Action, Adventure, Fantasy"
Piratas del Caribe: Navegando aguas misteriosas,2011,"Action, Adventure, Fantasy"
Smallville,2001–2017,"Action, Adventure, Drama"
Piña express,2008,"Action, Comedy, Crime"
El robo perfecto,2018,"Action, Crime, Drama"
Amphibia,2019–2022,"Animation, Action, Adventure"
Rápidos Y Furiosos 9,2021,"Action, Crime, Thriller"
Ms. Marvel,2022– ,"Action, Adventure, Comedy"
La reina del sur,2016–2021,"Action, Crime, Drama"
Stargate SG-1,1997–2007,"Action, Adventure, Drama"
El Último Duelo,2021,"Action, Drama, History"
Titanes,I) (2018– ,"Action, Adventure, Crime"
Star wars: Episodio I - La amenaza fantasma,1999,"Action, Adventure, Fantasy"
Día de la independencia,1996,"Action, Adventure, Sci-Fi"
El hombre araña,2002,"Action, Adventure, Sci-Fi"
Jackass Por Siempre,2022,"Documentary, Action, Comedy"
Black Panther: Wakanda Forever,2022,"Action, Adventure, Drama"
Invincible,2021– ,"Animation, Action, Adventure"
Prison Break,2005–2017,"Action, Crime, Drama"
Vampire in the Garden,2022– ,"Animation, Action, Adventure"
Justified: La ley de Raylan,2010–2015,"Action, Crime, Drama"
El señor de los anillos: La comunidad del anillo,2001,"Action, Adventure, Drama"
Tenet,2020,"Action, Adventure, Sci-Fi"
Liga de la Justicia,2017,"Action, Adventure, Fantasy"
Piratas del Caribe - En el fin del mundo,2007,"Action, Adventure, Fantasy"
Arrow,2012–2020,"Action, Adventure, Crime"
Los juegos del hambre,2012,"Action, Adventure, Sci-Fi"
Snowpiercer,2020– ,"Action, Drama, Sci-Fi"
Resident Evil: Bienvenidos a Raccoon City,2021,"Action, Horror, Sci-Fi"
Caos: El Inicio,2021,"Action, Adventure, Fantasy"
Guardianes de la galaxia,2014,"Action, Adventure, Comedy"
Lobo Adolescente,2011–2017,"Action, Drama, Fantasy"
Fantastic Four,,"Action, Adventure, Sci-Fi"
Thar,2022,"Action, Crime, Drama"
Untitled Indiana Jones Project,2023,"Action, Adventure"
Resident Evil,2022– ,"Action, Horror, Sci-Fi"
Black Widow,2021,"Action, Adventure, Sci-Fi"
Fuego contra fuego,1995,"Action, Crime, Drama"
Deadpool,2016,"Action, Adventure, Comedy"
El juego del calamar,2021– ,"Action, Drama, Mystery"
Gladiador,2000,"Action, Adventure, Drama"
The Owl House,2020– ,"Animation, Action, Adventure"
Viaje a las estrellas: Voyager,1995–2001,"Action, Adventure, Sci-Fi"
Matrix,1999,"Action, Sci-Fi"
Deadpool 2,2018,"Action, Adventure, Comedy"
Black Sails,2014–2017,"Action, Adventure, Drama"
Capitana Marvel,2019,"Action, Adventure, Sci-Fi"
Avatar: la leyenda de Aang,2005–2008,"Animation, Action, Adventure"
Los 4 fantásticos,2015,"Action, Adventure, Sci-Fi"
La momia,1999,"Action, Adventure, Fantasy"
"Hulk, el hombre increible",2008,"Action, Adventure, Sci-Fi"
The Punisher,2017–2019,"Action, Crime, Drama"
24,2001–2010,"Action, Crime, Drama"
Spider-Man: Un nuevo universo,2018,"Animation, Action, Adventure"
Sombra y hueso,2021– ,"Action, Adventure, Drama"
Star Wars: El ascenso de Skywalker,2019,"Action, Adventure, Fantasy"
Jurassic World: Mundo Jurásico,2015,"Action, Adventure, Sci-Fi"
Star Wars: Episodio II - El ataque de los clones,2002,"Action, Adventure, Fantasy"
Luz Negra,2022,"Action, Thriller"
Fast X,2023,"Action, Crime, Mystery"
G.I. Joe: Snake Eyes,2021,"Action, Adventure, Crime"
Dune: Part Two,2023,"Action, Adventure, Drama"
1917,2019,"Action, Drama, War"
Los federales,1998,"Action, Crime, Thriller"
DC's Legends of Tomorrow,2016–2022,"Action, Adventure, Drama"
Los cazadores del arca perdida,1981,"Action, Adventure"
Spartacus,2010–2013,"Action, Adventure, Biography"
Outer Banks,2020– ,"Action, Crime, Drama"
El perfecto asesino,1994,"Action, Crime, Drama"
FBI: International,2021– ,"Action, Adventure, Crime"
Guerra de los mundos,2005,"Action, Adventure, Sci-Fi"
Escuadrón Suicida,2016,"Action, Adventure, Fantasy"
Dhaakad,2022,"Action, Thriller"
Young Justice,2010– ,"Animation, Action, Adventure"
Iron Man: el hombre de hierro,2008,"Action, Adventure, Sci-Fi"
Chip y Dale al rescate,1988–1990,"Animation, Action, Adventure"
Rendirse jamás,2008,"Action, Drama, Sport"
Banshee,2013–2016,"Action, Crime, Drama"
Agente Fortune: El Gran Engaño,2022,"Action, Comedy, Thriller"
Expend4bles,,"Action, Adventure, Thriller"
Vigilados,2011–2016,"Action, Crime, Drama"
Red Notice,2021,"Action, Comedy, Thriller"
Batman: El caballero de la noche asciende,2012,"Action, Crime, Drama"
John Wick: Chapter 4,2023,"Action, Crime, Thriller"
Walker,2021– ,"Action, Crime, Drama"
Han Solo: una historia de Star Wars,2018,"Action, Adventure, Sci-Fi"
Pantera Negra,2018,"Action, Adventure, Sci-Fi"
Infinite,2021,"Action, Sci-Fi, Thriller"
See,2019– ,"Action, Drama, Sci-Fi"
The Avengers: Los Vengadores,2012,"Action, Adventure, Sci-Fi"
Eraser: Reborn,2022,Action
Rápida y mortal,1995,"Action, Romance, Thriller"
Dunas,1984,"Action, Adventure, Sci-Fi"
007: Casino Royale,2006,"Action, Adventure, Thriller"
Dunkerque,2017,"Action, Drama, History"
Star Wars: El despertar de la fuerza,2015,"Action, Adventure, Sci-Fi"
The Old Man,2022– ,"Action, Drama, Thriller"
Jumanji: El siguiente nivel,2019,"Action, Adventure, Comedy"
Star Trek,2009,"Action, Adventure, Sci-Fi"
Terminator 2: juicio final,1991,"Action, Sci-Fi"
Avenida Cloverfield 10,2016,"Action, Drama, Horror"
Rogue One: Una historia de Star Wars,2016,"Action, Adventure, Sci-Fi"
Baywatch guardianes de la bahía,2017,"Action, Comedy, Crime"
El precio del mañana,2011,"Action, Sci-Fi, Thriller"
Otro día para matar,2014,"Action, Crime, Thriller"
Beast,II) (2022,"Action, Comedy, Crime"
La guerra de las galaxias: Episodio III - La venganza de los Sith,2005,"Action, Adventure, Fantasy"
Jujutsu Kaisen,2020– ,"Animation, Action, Adventure"
Batman inicia,2005,"Action, Crime, Drama"
Archer,2009– ,"Animation, Action, Comedy"
El depredador,2018,"Action, Adventure, Sci-Fi"
Star Wars Rebels,2014–2018,"Animation, Action, Adventure"
Godzilla vs. Kong,2021,"Action, Sci-Fi, Thriller"
Avengers: Era de Ultrón,2015,"Action, Adventure, Sci-Fi"
El primer vengador,2011,"Action, Adventure, Sci-Fi"
Los 4 Fantásticos,I) (2005,"Action, Adventure, Fantasy"
El primer vengador: la guerra de los héroes,2016,"Action, Adventure, Sci-Fi"
Spider-Man: Lejos de casa,2019,"Action, Adventure, Sci-Fi"
MacGyver,2016–2021,"Action, Adventure, Drama"
Jurassic World: El reino caído,2018,"Action, Adventure, Sci-Fi"
Logan: Wolverine,2017,"Action, Drama, Sci-Fi"
Most Dangerous Game,2020– ,"Short, Action, Thriller"
6 Underground,2019,"Action, Thriller"
Roma,2005–2007,"Action, Drama, History"
"Alien 2, el regreso",1986,"Action, Adventure, Sci-Fi"
Guardians of the Galaxy Vol. 3,2023,"Action, Adventure, Comedy"
El señor de los anillos: El retorno del rey,2003,"Action, Adventure, Drama"
Battle Angel: la última guerrera,2019,"Action, Adventure, Sci-Fi"
Falcon y el soldado del invierno,2021,"Action, Adventure, Drama"
Agentes 355,2022,"Action, Thriller"
Oldboy: Días de venganza,2013,"Action, Drama, Mystery"
Infierno al volante,2011,"Action, Fantasy, Thriller"
Guardianes de la Galaxia Vol. 2,2017,"Action, Adventure, Comedy"
Tierra de nadie: Sicario,2015,"Action, Crime, Drama"
Baby: el aprendiz del crimen,2017,"Action, Crime, Drama"
Naruto,2002–2007,"Animation, Action, Adventure"
Legion,2017–2019,"Action, Drama, Sci-Fi"
Kingsman: El servicio secreto,2014,"Action, Adventure, Comedy"
Ready Player One: comienza el juego,2018,"Action, Adventure, Sci-Fi"
Naruto: Shippûden,2007–2017,"Animation, Action, Adventure"
Los guardianes de la bahía,1989–2001,"Action, Adventure, Crime"
"Drive, el escape",I) (2011,"Action, Drama"
Megalodón,2018,"Action, Horror, Sci-Fi"
Supergirl,2015–2021,"Action, Adventure, Drama"
Transformers,2007,"Action, Adventure, Sci-Fi"
X-Men,2000,"Action, Adventure, Sci-Fi"
El Sorprendente Hombre-Araña,2012,"Action, Adventure, Sci-Fi"
Dioses de Egipto,2016,"Action, Adventure, Fantasy"
"Remo Williams, sin armas pero mortífero",1985,"Action, Adventure, Comedy"
Doom Patrol,2019– ,"Action, Adventure, Comedy"
Star Wars: Episodio VIII: Los Últimos Jedi,2017,"Action, Adventure, Fantasy"
Jujutsu Kaisen 0,2021,"Animation, Action, Fantasy"
My Hero Academia,2016– ,"Animation, Action, Adventure"
Burn Notice,2007–2013,"Action, Crime, Drama"
Los guerreros,1979,"Action, Crime, Thriller"
El imperio contraataca,1980,"Action, Adventure, Fantasy"
Oldboy: Cinco días para vengarse,2003,"Action, Drama, Mystery"
El Camino: Una película de Breaking Bad,2019,"Action, Crime, Drama"
X-Men: Apocalipsis,2016,"Action, Adventure, Sci-Fi"
Venom,2018,"Action, Adventure, Sci-Fi"
Pearl Harbor,2001,"Action, Drama, History"
"Conan, el bárbaro",1982,"Action, Adventure, Fantasy"
The Flash,2023,"Action, Adventure, Fantasy"
Covert Affairs,2010–2014,"Action, Crime, Drama"
Longmire,2012–2017,"Action, Crime, Drama"
Altered Carbon,2018–2020,"Action, Drama, Sci-Fi"
Estamos muertos,2022– ,"Action, Drama, Fantasy"
"Watchmen, los vigilantes",2009,"Action, Drama, Mystery"
Love and Monsters,I) (2020,"Action, Adventure, Comedy"
Constantine,2005,"Action, Fantasy, Horror"
Jungle Cruise,2021,"Action, Adventure, Comedy"
"Najmro: Kocha, kradnie, szanuje",2021,"Action, Comedy, Crime"
El regreso del Jedi,1983,"Action, Adventure, Fantasy"
El mundo perdido: Jurassic Park,1997,"Action, Adventure, Sci-Fi"
The Tomorrow War,2021,"Action, Adventure, Drama"
Indiana Jones y la última cruzada,1989,"Action, Adventure"
Misión: Imposible - Repercusión,2018,"Action, Adventure, Thriller"
The Last of Us,2023– ,"Action, Adventure, Drama"
Star Trek sin límites,2016,"Action, Adventure, Sci-Fi"
Last Seen Alive,2022,"Action, Mystery, Thriller"
Depredador,1987,"Action, Adventure, Horror"
Terminator,1984,"Action, Sci-Fi"
Invasión,1997,"Action, Adventure, Sci-Fi"
Enemigos públicos,2009,"Action, Biography, Crime"
Hunter x Hunter,2011–2014,"Animation, Action, Adventure"
Enterprise,2001–2005,"Action, Adventure, Drama"
Corazones de hierro,2014,"Action, Drama, War"
Midway: batalla en el Pacífico,2019,"Action, Drama, History"
Godless,2017,"Action, Drama, Western"
Linterna Verde,2011,"Action, Adventure, Sci-Fi"
Secret Invasion,2022– ,"Action, Adventure, Drama"
Jack Reacher: Bajo la mira,2012,"Action, Mystery, Thriller"
Gangs of London,2020– ,"Action, Crime, Drama"
300,2006,"Action, Drama"
Mortal Kombat,2021,"Action, Adventure, Fantasy"
Mandy,I) (2018,"Action, Fantasy, Horror"
La aventura del Poseidón,1972,"Action, Adventure, Drama"
Blindspot,2015–2020,"Action, Crime, Drama"
Dos bribones tras la esmeralda perdida,1984,"Action, Adventure, Comedy"
"Galáctica, estrella de combate",2004–2009,"Action, Adventure, Drama"
Jessica Jones,2015–2019,"Action, Crime, Drama"
La Purga Por Siempre,2021,"Action, Horror, Thriller"
Batman v Superman: El origen de la justicia,2016,"Action, Adventure, Sci-Fi"
La Roca,1996,"Action, Adventure, Thriller"
Chuck,2007–2012,"Action, Comedy, Drama"
El hombre araña 3,2007,"Action, Adventure, Sci-Fi"
Divergente,2014,"Action, Adventure, Mystery"
Batman,1989,"Action, Adventure"
Mujer Maravilla,2017,"Action, Adventure, Fantasy"
Van Helsing,2016–2021,"Action, Drama, Fantasy"
Magnum,1980–1988,"Action, Adventure, Crime"
Ángeles de Charlie,2019,"Action, Adventure, Comedy"
"Robocop, el defensor del futuro",1987,"Action, Crime, Sci-Fi"
Los siete magníficos,2016,"Action, Adventure, Western"
Hora de Aventura,2010–2018,"Animation, Action, Adventure"
DC Liga De Súpermascotas,2022,"Animation, Action, Adventure"
Oblivion: El tiempo del olvido,I) (2013,"Action, Adventure, Sci-Fi"
Dos tipos peligrosos,2016,"Action, Comedy, Crime"
Old Henry,2021,"Action, Drama, Western"
Kill Bill Vol. 1,2003,"Action, Crime, Drama"
Emergency!,1972–1979,"Action, Adventure, Comedy"
No Respires 2,2021,"Action, Crime, Thriller"
Indiana Jones y el templo de la perdición,1984,"Action, Adventure"
Batgirl,2022,"Action, Adventure, Crime"
The Legend of Vox Machina,2022– ,"Animation, Action, Adventure"
007: Operación Skyfall,2012,"Action, Adventure, Thriller"
Inquebrantable,I) (2014,"Action, Biography, Drama"
Thor: Un mundo oscuro,2013,"Action, Adventure, Fantasy"
Del crepúsculo al amanecer,1996,"Action, Crime, Horror"
Angel,1999–2004,"Action, Drama, Fantasy"
Jumanji: En la selva,2017,"Action, Adventure, Comedy"
Revenant: El Renacido,2015,"Action, Adventure, Drama"
Miraculous: Las Aventuras de Ladybug,2015– ,"Animation, Action, Adventure"
Guerra mundial Z,2013,"Action, Adventure, Horror"
JoJo's Bizarre Adventure,2012– ,"Animation, Action, Adventure"
NCIS: New Orleans,2014–2021,"Action, Crime, Drama"
Hot Fuzz: Super policías,2007,"Action, Comedy, Mystery"
El hombre de acero,2013,"Action, Adventure, Sci-Fi"
Black Site,I) (2022,"Action, Thriller"
Boda sangrienta,I) (2019,"Action, Comedy, Horror"
Shin Ultraman,2022,"Action, Adventure, Drama"
Búsqueda implacable,I) (2008,"Action, Crime, Thriller"
Scott Pilgrim vs. los ex de la chica de sus sueños,2010,"Action, Comedy, Fantasy"
Iron Man 3,2013,"Action, Adventure, Sci-Fi"
Kung Fu,2021– ,"Action, Adventure, Drama"
Resident Evil: El huésped maldito,2002,"Action, Horror, Sci-Fi"
Apocalypto,2006,"Action, Adventure, Drama"
El fugitivo,1993,"Action, Crime, Drama"
Burbujas,2022,"Animation, Action, Adventure"
La liga extraordinaria,2003,"Action, Adventure, Fantasy"
Al filo del mañana,2014,"Action, Adventure, Sci-Fi"
Rápido y furioso,2001,"Action, Crime, Thriller"
Gravity Falls: Un verano de misterios,2012–2016,"Animation, Action, Adventure"
Hulk,2003,"Action, Sci-Fi"
El justiciero,2014,"Action, Crime, Thriller"
Fullmetal Alchemist: Brotherhood,2009–2012,"Animation, Action, Adventure"
X-Men: Días del futuro pasado,2014,"Action, Adventure, Sci-Fi"
Maze Runner - Correr o Morir,2014,"Action, Mystery, Sci-Fi"
El asedio de Silverton,2022,"Action, Crime, Drama"
El sorprendente Hombre Araña 2: la amenaza de Electro,2014,"Action, Adventure, Sci-Fi"
007: Spectre,I) (2015,"Action, Adventure, Thriller"
CSI: Miami,2002–2012,"Action, Crime, Drama"
Kong: la Isla Calavera,2017,"Action, Adventure, Fantasy"
John Wick 3: Parabellum,2019,"Action, Crime, Thriller"
El ejército de los muertos,2021,"Action, Crime, Horror"
Titanes del Pacífico,2013,"Action, Adventure, Sci-Fi"
Una guerra de película,2008,"Action, Comedy, War"
Ant-Man and the Wasp: Quantumania,2023,"Action, Adventure, Comedy"
Armageddon,1998,"Action, Adventure, Sci-Fi"
Impacto profundo,1998,"Action, Drama, Sci-Fi"
Batman & Robin,1997,"Action, Sci-Fi"
El Protector,2021,"Action, Adventure, Drama"
Don,2022,"Action, Comedy, Romance"
Designated Survivor,2016–2019,"Action, Drama, Mystery"
Alias,2001–2006,"Action, Drama, Mystery"
X-Men: Primera generación,2011,"Action, Adventure, Sci-Fi"
El primer vengador 2: Segunda guerra,2014,"Action, Adventure, Sci-Fi"
The Marvels,2023,"Action, Adventure, Fantasy"
El duro,1989,"Action, Thriller"
Asesino del futuro,2012,"Action, Drama, Sci-Fi"
Tomorrow,2022– ,"Action, Comedy, Drama"
Agent Game,2022,"Action, Thriller"
Duro De Cuidar 2,2021,"Action, Comedy, Crime"
Más Dura Será La Caída,2021,"Action, Drama, Western"
Corrective Measures,2022,"Action, Sci-Fi, Thriller"
"La vigilante del futuro, Ghost in the Shell",2017,"Action, Crime, Drama"
Sherlock Holmes,2009,"Action, Adventure, Mystery"
El ejército de los ladrones,2021,"Action, Comedy, Crime"
Mujer Maravilla 1984,2020,"Action, Adventure, Fantasy"
Black Clover,2017–2021,"Animation, Action, Adventure"
K.G.F: Chapter 1,2018,"Action, Crime, Drama"
¡Shazam!,2019,"Action, Adventure, Comedy"
Raya y el último dragón,2021,"Animation, Action, Adventure"
Enola Holmes,2020,"Action, Adventure, Crime"
Stargate Atlantis,2004–2009,"Action, Adventure, Drama"
Rush: Pasión y gloria,I) (2013,"Action, Biography, Drama"
Bloodshot,2020,"Action, Adventure, Sci-Fi"
Machete Kills,2013,"Action, Crime, Thriller"
Andor,2022– ,"Action, Adventure, Drama"
El señor de los anillos: Las dos torres,2002,"Action, Adventure, Drama"
Blade: Cazador de vampiros,1998,"Action, Horror, Sci-Fi"
Los nuevos mutantes,2020,"Action, Horror, Mystery"
Mentiras verdaderas,1994,"Action, Comedy, Thriller"
"Willow, en la tierra del encanto",1988,"Action, Adventure, Drama"
El hombre araña 2,2004,"Action, Adventure, Sci-Fi"
Cruzada,2005,"Action, Adventure, Drama"
Sarkaru Vaari Paata,2022,"Action, Drama"
Los Nevers,2021– ,"Action, Drama, Fantasy"
Enemigo de todos,II) (2016,"Action, Crime, Drama"
X-Men: Dark Phoenix,2019,"Action, Adventure, Sci-Fi"
Ocean's 8: las estafadoras,2018,"Action, Comedy, Crime"
Batman,1966–1968,"Action, Adventure, Comedy"
Harley Quinn,2019– ,"Animation, Action, Adventure"
Gold,I) (2022,"Action, Thriller"
El castigador,2004,"Action, Crime, Drama"
V de Venganza,2005,"Action, Drama, Sci-Fi"
Star Trek: En la oscuridad,2013,"Action, Adventure, Sci-Fi"
Batman: La serie animada,1992–1995,"Animation, Action, Adventure"
Batwoman,2019–2022,"Action, Adventure, Crime"
El Protegido,2021,"Action, Thriller"
La caída del halcón negro,2001,"Action, Drama, History"
Iron Man 2,2010,"Action, Adventure, Sci-Fi"
Battleship,2012,"Action, Adventure, Sci-Fi"
Un detective en el kinder,1990,"Action, Comedy, Crime"
Ant-Man: El hombre hormiga,2015,"Action, Adventure, Comedy"
El último samurai,2003,"Action, Drama"
Comando especial,2012,"Action, Comedy, Crime"
The Other Guys,2010,"Action, Comedy, Crime"
Shadowhunters,2016–2019,"Action, Drama, Fantasy"
La leyenda de Tarzán,2016,"Action, Adventure, Drama"
El vengador fantasma,2007,"Action, Fantasy, Thriller"
Mad Max,1979,"Action, Adventure, Sci-Fi"
Scorpion,2014–2018,"Action, Crime, Drama"
Duro de matar,1988,"Action, Thriller"
Amenaza en lo profundo,2020,"Action, Horror, Sci-Fi"
Warrior,2019– ,"Action, Crime, Drama"
La última pelea,2011,"Action, Drama, Sport"
Knight and Day,2010,"Action, Adventure, Comedy"
Superman: el film,1978,"Action, Adventure, Sci-Fi"
Harry Potter y la orden del Fénix,2007,"Action, Adventure, Family"
El Rey Arturo: La leyenda de la espada,2017,"Action, Adventure, Drama"
Duro De Cuidar,2017,"Action, Comedy, Crime"
Terminator: destino oculto,2019,"Action, Adventure, Sci-Fi"
Batman eternamente,1995,"Action, Adventure"
Hombres de Negro Internacional,2019,"Action, Adventure, Comedy"
The Last Victim,2021,"Action, Crime, Thriller"
Kingsman: El Círculo Dorado,2017,"Action, Adventure, Comedy"
Polar,I) (2019,"Action, Crime, Drama"
Punto de quiebra,1991,"Action, Crime, Thriller"
TRON: El legado,2010,"Action, Adventure, Sci-Fi"
Cowboy Bebop,2021,"Action, Adventure, Comedy"
Stargirl,2020– ,"Action, Adventure, Crime"
La máscara,1994,"Action, Comedy, Crime"
Mortdecai: el artista del engaño,2015,"Action, Adventure, Comedy"
Sherlock Holmes 3,,"Action, Adventure, Mystery"
Cómo entrenar a tu dragón,2010,"Animation, Action, Adventure"
El expreso del miedo,2013,"Action, Sci-Fi, Thriller"
13 Horas: Los soldados secretos de Bengasi,2016,"Action, Drama, History"
Tornado,I) (1996,"Action, Adventure, Thriller"
Los increíbles,2004,"Animation, Action, Adventure"
El abogado del Lincoln,2022– ,"Crime, Drama, Mystery"
El Hombre Del Norte,2022,"Action, Adventure, Drama"
Candy,2022,"Biography, Crime, Drama"
La escalera,2022,"Biography, Crime, Drama"
Ozark,2017–2022,"Crime, Drama, Thriller"
Stranger Things,2016– ,"Drama, Fantasy, Horror"
Halo,2022– ,"Action, Adventure, Sci-Fi"
Morbius,2022,"Action, Adventure, Horror"
Prey,I) (2022,"Action, Drama, Horror"
Llamas De Venganza,2022,"Drama, Horror, Sci-Fi"
"Love, Death & Robots",2019– ,"Animation, Short, Action"
Avatar: The Way of Water,2022,"Action, Adventure, Sci-Fi"
Breaking Bad,2008–2013,"Crime, Drama, Thriller"
Severance,2022– ,"Drama, Mystery, Sci-Fi"
Por mandato del cielo,2022,"Crime, Drama, Mystery"
X,II) (2022,"Horror, Thriller"
Viejos,2021,"Drama, Horror, Mystery"
Outer Range,2022– ,"Drama, Mystery, Thriller"
The Flight Attendant,2020– ,"Comedy, Drama, Mystery"
Asesino sin memoria,2022,"Action, Thriller"
The Walking Dead,2010–2022,"Drama, Horror, Thriller"
The Blacklist,2013– ,"Crime, Drama, Mystery"
NCIS: Criminología Naval,2003– ,"Action, Crime, Drama"
Luminosas,2022– ,"Crime, Drama, Mystery"
The Lincoln Lawyer,2011,"Crime, Drama, Mystery"
La ley y el orden: Unidad de Victimas Especiales,1999– ,"Crime, Drama, Mystery"
Black Mirror,2011–2019,"Drama, Mystery, Sci-Fi"
Bienvenidos a Edén,2022– ,"Action, Drama, Sci-Fi"
Tokyo Vice,2022– ,"Crime, Drama, Thriller"
Supernatural,2005–2020,"Drama, Fantasy, Horror"
Clark,2022,"Action, Comedy, Crime"
Big Sky,2020– ,"Crime, Drama, Mystery"
Jurassic World Dominio,2022,"Action, Adventure, Sci-Fi"
El Peso Del Talento,2022,"Action, Comedy, Crime"
Anatomía de un escándalo,2022,"Drama, Thriller"
Mentes Criminales,2005–2020,"Crime, Drama, Mystery"
The Terminal List,2022– ,"Action, Drama, Thriller"
9-1-1,2018– ,"Action, Drama, Thriller"
Ambulancia,2022,"Action, Crime, Drama"
Caballos lentos,2022– ,"Drama, Thriller"
¿Qué pasó con Sara?,2021–2022,"Crime, Drama, Mystery"
Spiderhead,2022,"Action, Crime, Drama"
Llamas de venganza,1984,"Action, Horror, Sci-Fi"
The Wire,2002–2008,"Crime, Drama, Thriller"
Fear the Walking Dead,2015– ,"Drama, Horror, Sci-Fi"
K.G.F: Chapter 2,2022,"Action, Crime, Drama"
El cuento de la criada,2017– ,"Drama, Sci-Fi, Thriller"
Law & Order,1990– ,"Crime, Drama, Mystery"
El mentalista,2008–2015,"Crime, Drama, Mystery"
Tehran,2020– ,"Action, Crime, Drama"
Mayans M.C.,2018– ,"Crime, Drama, Thriller"
Reacher,2022– ,"Action, Crime, Drama"
9-1-1: Lone Star,2020– ,"Action, Drama, Thriller"
Historia de horror americana,2011– ,"Drama, Horror, Sci-Fi"
Jetski,2022,Thriller
Chicago P.D.,2014– ,"Action, Crime, Drama"
S.W.A.T.,2017– ,"Action, Adventure, Crime"
Sin Tiempo Para Morir,2021,"Action, Adventure, Thriller"
The Outfit,2022,"Crime, Drama, Mystery"
Borrego,2022,Thriller
F.B.I.,2018– ,"Action, Crime, Drama"
Made for Love,2021– ,"Comedy, Drama, Sci-Fi"
True Detective,2014–2019,"Crime, Drama, Mystery"
Monstrous,2022,"Horror, Mystery, Thriller"
Lost,2004–2010,"Adventure, Drama, Fantasy"
The Equalizer,2021– ,"Action, Crime, Drama"
King's Man: El origen,2021,"Action, Adventure, Thriller"
The Stand,2020–2021,"Adventure, Drama, Fantasy"
The Vampire Diaries,2009–2017,"Drama, Fantasy, Horror"
Scream (Grita),I) (2022,"Horror, Mystery, Thriller"
Blue Bloods,2010– ,"Crime, Drama, Mystery"
Death in Paradise,2011– ,"Comedy, Crime, Drama"
Daredevil,2015–2018,"Action, Crime, Drama"
Fargo,2014– ,"Crime, Drama, Thriller"
Only Murders in the Building,2021– ,"Comedy, Crime, Drama"
Spy x Family,2022– ,"Animation, Action, Comedy"
Midsommar: el terror no espera la noche,2019,"Drama, Horror, Mystery"
La Bruja,2015,"Drama, Fantasy, History"
Los expedientes secretos X,1993–2018,"Crime, Drama, Mystery"
Batman: El Caballero de la Noche,2008,"Action, Crime, Drama"
Vendetta,I) (2022,"Action, Thriller"
El Callejón De Las Almas Perdidas,2021,"Crime, Drama, Thriller"
Los indomables,2008–2014,"Crime, Drama, Thriller"
Killing Eve,2018–2022,"Action, Adventure, Drama"
La cacería,II) (2020,"Action, Horror, Thriller"
London Fields,2018,"Crime, Mystery, Thriller"
Station 19,2018– ,"Action, Drama, Romance"
De uskyldige,2021,"Drama, Fantasy, Horror"
No Te Preocupes Cariño,I) (2022,Thriller
Los infiltrados,2006,"Crime, Drama, Thriller"
The Contractor,2022,"Action, Thriller"
The Gray Man,2022,"Action, Thriller"
Killers of the Flower Moon,2022,"Crime, Drama, History"
Parque jurásico,1993,"Action, Adventure, Sci-Fi"
Aguas Profundas,2022,"Drama, Mystery, Thriller"
Love and Death,2022– ,"Biography, Crime, Drama"
Yellowjackets,2021– ,"Drama, Horror, Mystery"
Justicia Implacable,2021,"Action, Crime, Thriller"
Cincuenta sombras de Grey,2015,"Drama, Romance, Thriller"
Resurrection,2022,"Crime, Drama, Horror"
Sherlock,2010–2017,"Crime, Drama, Mystery"
Jack Ryan,2018– ,"Action, Drama, Thriller"
Candyman,2021,"Horror, Thriller"
Dark,2017–2020,"Crime, Drama, Mystery"
Entre navajas y secretos,2019,"Comedy, Crime, Drama"
Demon Slayer: Kimetsu no Yaiba,2019– ,"Animation, Action, Adventure"
Chernobyl,2019,"Drama, History, Thriller"
Dexter,2006–2013,"Crime, Drama, Mystery"
La Casa de Papel,2017–2021,"Action, Crime, Drama"
El faro,I) (2019,"Drama, Fantasy, History"
Blade Runner 2049,2017,"Action, Drama, Mystery"
Corre,I) (2020,"Mystery, Thriller"
Tren Bala,2022,"Action, Thriller"
Élite,2018– ,"Crime, Drama, Thriller"
Fresh,2022,"Comedy, Horror, Thriller"
Venom: Carnage Liberado,2021,"Action, Adventure, Sci-Fi"
Parásitos,2019,"Comedy, Drama, Thriller"
From,2022– ,"Drama, Horror, Mystery"
Nadie,I) (2021,"Action, Crime, Drama"
Agents of S.H.I.E.L.D,2013–2020,"Action, Adventure, Drama"
Ash contra el mal,2015–2018,"Action, Comedy, Fantasy"
El origen,2010,"Action, Adventure, Sci-Fi"
Mission: Impossible - Dead Reckoning - Part One,2023,"Action, Adventure, Thriller"
Top Boy,2011– ,"Crime, Drama, Thriller"
Ley y orden: crimen organizado,2021– ,"Crime, Drama, Mystery"
True Blood,2008–2014,"Drama, Fantasy, Mystery"
Guasón,I) (2019,"Crime, Drama, Thriller"
